"RootID","OtherCounties"
65,"DuPage"
65,"Kane"
77,"Butler"
77,"Mercer"
77,"Venango"
80,"Hamilton"
108,"Erie"
108,"Steuben"
145,"Platte"
175,"Jefferson"
175,"White"
176,"Will"
178,"Lake"
344,"St. Charles"
344,"St. Louis"
408,"Allegan"
408,"Clinton"
408,"Genesee"
408,"Ingham"
408,"Lapeer"
408,"Livingston"
408,"Macomb"
408,"Wayne"
442,"Canadian"
442,"Cleveland"
442,"Grady"
442,"McClain"
1873,"DuPage"
1873,"Lake"
1933,"Alachua"
1933,"Duval"
1933,"Hillsborough"
1933,"Osceola"
1933,"Palm Beach"
1933,"Seminole"
1933,"St. Johns"
1938,"Champaign"
1938,"DuPage"
1938,"Kankakee"
1938,"Macon"
1938,"McLean"
1941,"Cook"
1941,"DuPage"
1941,"Kane"
1943,"Santa Clara"
1943,"Santa Cruz"
1991,"Cayuga"
1991,"Chenango"
1991,"Onondaga"
1991,"Seneca"
1991,"Tompkins"
1991,"Wayne"
2025,"Shasta"
2033,"Calvert"
2033,"Charles"
2034,"Norfolk"
2035,"Calvert"
2035,"Charles"
2035,"St. Mary's"
2039,"Baltimore County"
2050,"Jackson"
2050,"Jasper"
2050,"Madison"
2051,"Clark"
2051,"Cook"
2051,"DeKalb"
2051,"Lake"
2051,"Logan"
2051,"Macon"
2051,"McLean"
2051,"Peoria"
2051,"Stephenson"
2051,"Whiteside"
2051,"Winnebago"
2055,"King"
2055,"Kitsap"
2055,"Skagit"
2115,"Nassau"
2225,"El Dorado"
2225,"Sacramento"
2272,"Davis"
2272,"Salt Lake"
2272,"Weber"
2274,"Cache"
2274,"Carbon"
2274,"Davis"
2274,"Utah"
2281,"Boulder"
2281,"Jefferson"
2285,"Henry"
2285,"Mercer"
2285,"Warren"
2285,"Woodford"
2304,"Douglas"
2306,"Adams"
2306,"Larimer"
2306,"Weld"
2307,"Essex"
2307,"Middlesex"
2307,"Suffolk"
2307,"Worcester"
2321,"Jackson"
2340,"Labette"
2347,"Hillsborough"
2347,"Rockingham"
2367,"Barnes"
2367,"Burleigh"
2367,"Cass"
2367,"Kidder"
2367,"Ransom"
2368,"Burleigh"
2368,"Cass"
2368,"Grant"
2368,"Morton"
2368,"Stark"
2368,"Ward"
2369,"Burleigh"
2369,"Cass"
2369,"Foster"
2369,"Grand Forks"
2369,"Griggs"
2369,"Kidder"
2369,"McHenry"
2369,"McLean"
2369,"Mercer"
2369,"Morton"
2369,"Steele"
2369,"Traill"
2369,"Ward"
2374,"Litchfield"
2374,"Middlesex"
2374,"New Haven"
2374,"New London"
2376,"Clackamas"
2376,"Douglas"
2376,"Marion"
2376,"Multnomah"
2376,"Polk"
2376,"Umatilla"
2376,"Washington"
2376,"Yamhill"
2384,"Queens"
2384,"Suffolk"
2387,"Nassau"
2413,"Cibola"
2413,"Sandoval"
2424,"Florence"
2424,"Horry"
2424,"Lexington"
2424,"Richland"
2424,"Sumter"
2460,"Carroll"
2460,"Floyd"
2460,"Haralson"
2460,"Paulding"
2467,"Walton"
2470,"Valley"
2480,"Racine"
2480,"Waukesha"
2486,"Lake"
2501,"Baltimore County"
2502,"Maricopa"
2502,"Pima"
2502,"Pinal"
2502,"Santa Cruz"
2514,"Kalamazoo"
2514,"Wayne"
2515,"Allegan"
2515,"Clinton"
2515,"Eaton"
2515,"Ingham"
2515,"Kalamazoo"
2515,"Leelanau"
2515,"Macomb"
2515,"Van Buren"
2515,"Washtenaw"
2515,"Wayne"
2549,"Goochland"
2549,"Louisa"
2559,"Los Angeles"
2559,"Sacramento"
2586,"Douglas"
2586,"Wyandotte"
2590,"Chase"
2590,"Coffey"
2590,"Marion"
2607,"Montgomery"
2611,"Bay"
2611,"Genesee"
2611,"Kent"
2611,"Livingston"
2611,"Macomb"
2611,"Oakland"
2611,"Washtenaw"
2611,"Wayne"
2612,"Baltimore County"
2612,"Montgomery"
2612,"Prince George's"
2612,"St. Mary's"
2621,"DeKalb"
2621,"Kane"
2621,"Winnebago"
2627,"Putnam"
2627,"Wayne"
2628,"Allegheny"
2628,"Berks"
2628,"Bucks"
2628,"Centre"
2628,"Chester"
2628,"Fulton"
2628,"Lycoming"
2635,"Honolulu"
2696,"Cheatham"
2696,"Rutherford"
2706,"Cole"
2715,"Los Angeles"
2878,"Contra Costa"
2878,"San Diego"
2878,"Santa Cruz"
2878,"Sonoma"
2879,"Los Angeles"
2879,"Riverside"
2879,"San Diego"
2925,"Delta"
2925,"Eagle"
2925,"Garfield"
2925,"Mesa"
2925,"Ouray"
2925,"Pitkin"
2925,"San Miguel"
2933,"Adams"
2933,"Douglas"
2933,"Jefferson"
2933,"Larimer"
2933,"Mesa"
2937,"Douglas"
2937,"El Paso"
2937,"Pueblo"
2937,"Broomfield"
2952,"DuPage"
3006,"Bucks"
3040,"Grand Forks"
3040,"Pembina"
3040,"Ramsey"
3050,"Middlesex"
3050,"Norfolk"
3050,"Plymouth"
3050,"Suffolk"
3050,"Worcester"
3053,"Prince George's"
3076,"Davidson"
3076,"Maury"
3095,"Peoria"
3115,"Jackson"
3115,"Johnson"
3115,"Kingman"
3119,"Meade"
3119,"Pennington"
3129,"Monroe"
3129,"Wayne"
3130,"Albany"
3130,"Cayuga"
3130,"Dutchess"
3130,"Niagara"
3130,"Orleans"
3130,"St. Lawrence"
3130,"Tompkins"
3130,"Yates"
3193,"King"
3193,"Pierce"
3199,"Florence"
3199,"Georgetown"
3231,"Ste. Genevieve"
3237,"Johnson"
3259,"Boulder"
3259,"Denver"
3259,"Douglas"
3259,"Jefferson"
3259,"Larimer"
3259,"Mesa"
3259,"Routt"
3285,"Miami-Dade"
3285,"Palm Beach"
3286,"Miami-Dade"
3287,"Butte"
3287,"Madera"
3287,"Placer"
3287,"Santa Clara"
3287,"Santa Cruz"
3287,"Tuolumne"
3290,"Glenn"
3290,"Tehama"
3298,"Pembina"
3298,"Traill"
3298,"Walsh"
3306,"Suffolk"
3310,"Arapahoe"
3310,"Denver"
3310,"El Paso"
3310,"Jefferson"
3310,"Larimer"
3312,"Adams"
3312,"Jefferson"
3312,"Larimer"
3331,"Clark"
3331,"Douglas"
3331,"Washoe"
3471,"Los Angeles"
3471,"Sonoma"
3572,"Fayette"
3572,"Winston"
3600,"Ohio"
3609,"Pima"
3661,"Providence"
3682,"Caguas"
3682,"CanÂ¦vanas"
3682,"Vega Baja"
3718,"Hanover"
3821,"Christian"
3821,"Jasper"
3821,"Lawrence"
3821,"Newton"
3848,"Pinal"
4023,"Los Angeles"
4023,"Riverside"
4078,"Bay"
4078,"Genesee"
4078,"Lapeer"
4078,"Livingston"
4078,"Macomb"
4082,"Cook"
4274,"Graham"
4274,"Navajo"
4274,"Pima"
4274,"Pinal"
4430,"Franklin"
4477,"Adams"
4477,"Arapahoe"
4477,"Bent"
4477,"Boulder"
4477,"Conejos"
4477,"Costilla"
4477,"Denver"
4477,"Douglas"
4477,"El Paso"
4477,"Jefferson"
4477,"Las Animas"
4477,"Otero"
4477,"Weld"
4732,"Mercer"
4954,"Alameda"
4954,"Contra Costa"
4954,"Fresno"
4954,"Marin"
4954,"Plumas"
4954,"San Diego"
4954,"San Francisco"
4954,"Santa Cruz"
5087,"Los Angeles"
5087,"Napa"
5087,"Orange"
5087,"Sacramento"
5087,"San Diego"
5087,"San Luis Obispo"
5217,"Orange"
5910,"Warren"
5912,"Atlantic"
6385,"Mercer"
6385,"Middlesex"
6385,"Morris"
6385,"Union"
6942,"Middlesex"
7222,"Los Angeles"
7222,"Riverside"
8094,"Marin"
8094,"Santa Clara"
