"RootID","FoodName","ContaminatedIngredient"
2291,"vegetable dip, unspecified",
2321,"pork, BBQ",
2331,"sandwich, turkey","lettuce"
2331,"sandwich, turkey","turkey"
2368,"Taco meat","beef"
2369,"roast beef","beef"
2376,"chicken","chicken"
2395,"pork, unspecified","pork, other"
2424,"pork, BBQ",
2460,"potato salad",
2465,"carrots","carrots"
2470,"refried beans, unspecified",
2475,"beef",
2480,"milk, whole milk unpasteurized",
2514,"salad, unspecified",
2515,"tomatoes",
2539,"eggs, scrambled","egg"
2566,"barbacoa",
2586,"salsa",
2596,"Taco meat",
2611,"alfalfa sprouts",
2612,"stew/chili, other",
2621,"pork, roasted",
2627,"sausage, pork",
2644,"pork, other",
2649,"potato salad",
2703,"sandwich, unspecified",
2707,"pizza, cheese",
2715,"Salads","tomato"
2715,"tomatoes","tomato"
2875,"soup, french onion",
2880,"salmon, unspecified",
2925,"milk, whole milk unpasteurized","milk, whole milk unpasteurized"
3050,"ground beef","ground beef"
3057,"lima beans",
3070,"fruit",
3076,"Salads",
3082,"gravy",
3122,"cupcakes",
3128,"beef","beef"
3138,"leaf lettuce",
3182,"pizza",
3193,"burrito, unspecified",
3199,"pork, BBQ",
3200,"oysters, raw",
3201,"roast beef",
3203,"eggs, scrambled",
3234,"roast beef, unspecified",
3240,"pork, other","pork"
3240,"rice, unspecified","rice"
3252,"mushrooms","mushrooms"
3259,"ground beef","beef"
3279,"rice",
3280,"Meats",
3312,"iceberg lettuce, unspecified","lettuce"
3323,"Salads",
3325,"refried beans, unspecified",
3349,"Oysters",
3481,"pork","pork"
3626,"salsa",
3634,"pasta",
3654,"potato salad",
3682,"chicken",
3684,"pork",
3765,"chicken salad","chicken"
3780,"fish, milkfish (bangus)",
3899,"Specialty/Ethnic dishes",
3936,"fish, baracuda",
4019,"Chili Mac",
4082,"roast beef",
4097,"red snapper","fish"
4274,"peppers, jalapeno",
4348,"turkey","turkey"
4452,"rolls",
4477,"Green Chile",
4597,"cream puff",
4954,"turkey, other","turkey"
5005,"sweet potato, unspecified",
5087,"oysters, raw",
6238,"sangria",
6240,"fish, stuffed flounder",
6387,"cake, unspecified",
6875,"lettuce",
6876,"ground beef","ground beef"
6890,"blueberries","blueberries"
6921,"Cookie Dough",
7075,"alfalfa sprouts",
7078,"melon",
7085,"lettuce, unspecified",
7088,"ground beef, other",
7106,"salami","pepper, ground"
7112,"alfalfa sprouts",
7113,"ground beef, other",
7119,"ground beef",
7610,"shredded lettuce","iceberg lettuce"
7678,"needle tenderized steak","steak, sirloin"
8115,"mexican style cheese, pasteurized","mexican style cheese"
25,"fruit",
25,"mushrooms",
25,"pasta salad",
26,"Vegetables",
68,"chicken salad",
88,"Salads",
88,"tomatoes",
88,"Vegetables",
117,"sandwich, wrap",
119,"Ground beef, gravy, toast, egg dish",
140,"Chicken Yak",
175,"ice",
175,"lemonade, unspecified",
182,"Salads",
184,"turkey",
314,"fruit-based salads",
408,"salad, unspecified",
424,"egg salad/egg salad sandwich",
427,"lasagna, vegetarian",
1885,"cabbage",
1885,"ice",
1900,"filet mignon appetizer",
1964,"bean dishes",
1992,"egg salad/egg salad sandwich",
1996,"beans, baked",
2007,"sandwich, submarine",
2025,"cactus salad",
2025,"multiple foods",
2036,"egg-containing food, other",
2041,"cheese dip",
2115,"Malai Kofta",
2183,"chicken salad",
2195,"sandwich, roast beef",
2263,"chicken, unspecified",
2263,"turkey dishes",
2271,"pudding, unspecified",
2281,"chile relleno, unspecified",
2281,"flauta, chicken",
2281,"lettuce",
2304,"pizza, vegetable",
2306,"sandwich, turkey",
2346,"Salads",
2347,"pudding, unspecified",
2366,"french fries",
2366,"sandwich, club",
2373,"potato, mashed",
2373,"turkey and gravy",
2373,"turkey loaf",
2374,"blackberries",
2374,"raspberries",
2378,"salad, unspecified",
2382,"burrito, chicken",
2384,"bruschetta",
2384,"Peppers, Red, roasted",
2384,"proscuitto with melon",
2384,"Tomatoes with Mozzerella",
2384,"Zucchini, Fried",
2384,"Zucchini, Marinated",
2388,"bread, unspecified",
2388,"ice cream",
2390,"cheese, pre-sliced",
2390,"deli meat, unspecified",
2423,"chicken salad",
2423,"crispy chicken salad",
2423,"grilled chicken salad",
2454,"sandwich, corned beef",
2501,"seafood pasta",
2549,"lasagna",
2560,"rice, fried rice",
2583,"potato salad",
2590,"cannelloni",
2607,"ice cream, homemade",
2690,"soup, beef-based",
2696,"lettuce",
2696,"roast beef",
2705,"fruit salad",
2706,"turkey, roasted",
2710,"chicken, francaise",
2710,"Cocktails",
2876,"gravy",
2876,"turkey",
2892,"green salad",
2987,"guacamole",
3006,"hollandaise sauce",
3209,"guacamole",
3209,"salsa",
3230,"sandwich, submarine",
3231,"head cheese",
3272,"Salads",
3282,"fajitas",
3284,"Chicken Salad",
3284,"tuna salad",
3290,"cookies",
3290,"frosting/icing, unspecified",
3292,"cake",
3308,"bean dishes",
3310,"chicken dishes",
3310,"fruit",
3310,"Vegetables",
3384,"Fettuccine Alfredo with Chicken and Broccoli",
3623,"black beans",
3623,"rice, spanish",
3781,"deli meat, multiple",
3782,"dips, unspecified",
3782,"pasta salad",
3821,"ice",
3821,"powdered mix, unspecified",
3821,"water",
3875,"pasta, unspecified",
3915,"beef",
4078,"potato, mashed",
4078,"turkey",
4345,"milk, 1% milk pasteurized",
4345,"salad dressings",
4345,"Vegetables",
4401,"chicken salad",
5910,"chicken, fried",
5910,"potato, unspecified",
6385,"chicken, marsala",
6385,"pork, other",
6585,"guacamole",
6585,"rice",
6585,"salsa",
22,"cookies",
23,"salad, unspecified",
27,"lettuce, unspecified",
43,"rice, white","rice"
51,"cake, chocolate",
77,"milk, whole milk unpasteurized",
79,"cake",
80,"oysters, raw","oysters"
81,"multiple foods","lemon"
81,"multiple foods","lime"
107,"burrito, chicken",
108,"lettuce","lettuce"
113,"oysters, raw",
115,"ground beef, other","beef"
125,"macaroni salad",
127,"cookies, unspecified",
179,"spaghetti, unspecified",
191,"fruit",
203,"beef, brisket",
344,"cake, tiramisu",
349,"chicken, other",
353,"sandwich, unspecified",
425,"ice",
439,"lamb, chops",
447,"cake",
1865,"fish, ahi","fish, ahi"
1868,"chicken tenders",
1876,"chicken",
1893,"lettuce based salads",
1899,"macaroni and cheese",
1909,"deviled eggs",
1933,"vinagarette-based dressing",
1991,"chicken, chimichanga","chicken"
2016,"chicken, strips",
2023,"cookies, unspecified",
2038,"potato salad",
2051,"roast beef",
2055,"salad, unspecified",
2070,"macaroni and cheese",
2071,"orange juice, pasteurized",
2087,"roast beef, unspecified",
2121,"cake, brownie",
2212,"sandwich, deli",
2254,"onion, unspecified",
2275,"queso fresco, unpasteurized","milk"
2282,"deli meat, sliced turkey",
